Từ ngữ nhạy cảm,Hệ số,Từ ngữ phổ biến,Số lần xuất hiện
chết,4.457635542250863,bạn,622
đồ,4.0492629269861045,con,353
khốn_nạn,3.5789917847468247,chó,335
đi,3.445801898774105,chết,327
bạn,3.288155357043518,đụ,305
tiệt,3.2051303233704362,tiệt,170
chết tiệt,3.012346769005127,bị,162
đồng_tính,2.42189474576393,phải,160
kẻ,2.388562200756585,sa_thải,154
ngốc,2.323050010128176,jim,145
đừng,2.32064381720258,wales,145
mẹ,2.2723867865774747,tôi,96
lũ,2.222802665183651,rồi,48
là một,2.1119879914456607,_nate,47
một tên,2.078406457266789,người,43
ngu,1.9687656101963085,đi,33
tên,1.9489627792125745,những,28
mày,1.9079469506898052,sẽ,22
ngu_ngốc,1.8544336867618003,đồ,22
thôi,1.8324002457242135,về,20
tệ,1.807392251090373,đã,19
khốn,1.8032706968440086,đó,19
giết,1.766938489504113,thật,17
đồ khốn_nạn,1.647805846857979,này,16
thật,1.619124127727949,đang,16
fuck,1.6115782765163178,anh,15
đen,1.5484135857999415,đồng_tính,15
quan_tâm,1.5276818062391597,thì,14
url url,1.5122237937767526,vì,14
bạn là,1.5025738221079783,tên,14
con,1.5013087872193307,,0
khốn_kiếp,1.498693095130985,,0
một kẻ,1.4288925203417313,,0
bú_cặc,1.392442836984615,,0
người đồng_tính,1.390397497016147,,0
hãy,1.3847110862783392,,0
của chính,1.3732462627601332,,0
gã,1.3118246678427596,,0
cặc,1.3048378651479016,,0
ngu ngốc,1.290089107231862,,0
mẹ kiếp,1.2690568164579745,,0
cậu,1.2655671026773079,,0
tôi,1.2655636264650871,,0
đấy,1.2644879495666936,,0
kiếp,1.255643567584923,,0
của tôi,1.2298975128959222,,0
tôi sẽ,1.2013742935196352,,0
rác_rưởi,1.1893261407267586,,0
bẩn_thỉu,1.1801264378152982,,0
đi đồ,1.1781347057176874,,0
